dates,gdp,p_elec,c_cement,m_ind_inp,cred_mn
2004-01-01,3.67496599637412,4.22903151065802,6.86888991547326,-16.5324809515333,13.5145634035397
2004-02-01,4.24595911891129,7.3509768428937,6.46828947961398,9.21509547663796,9.45336876491373
2004-03-01,5.77425697433643,5.43638215983699,7.7804937895819,-2.81255417040227,8.22696581534948
2004-04-01,4.24799534215177,6.19489971007633,2.20196531003788,7.5944704112684,5.00330403653432
2004-05-01,3.95075685370211,6.12444597939332,2.77065865458609,19.0052293115257,4.77257313137193
2004-06-01,3.00998259699102,5.1916252661462,5.09432075723237,14.0540683029279,6.05485970828809
2004-07-01,3.66095616538795,4.27704576976422,-0.374674978854046,5.48390922799363,6.51896353269782
2004-08-01,4.45023506212127,5.93278660320009,2.11487444880324,22.217433428355,7.34353310194561
2004-09-01,4.78524711339773,7.00618459182472,3.44298310720542,20.5757554377525,9.01919256988184
2004-10-01,2.6205800566763,4.42964793232873,0.239222200730467,-2.36660365307953,12.7012375406343
2004-11-01,9.45717190074313,6.19419606262951,9.20751822017645,14.7145492875915,10.670602377967
2004-12-01,9.79438004053065,8.16922987196046,5.18794665627454,32.7631545360123,11.5922886274834
2005-01-01,5.35597311641661,5.39913877326456,6.53849838482613,31.3563642688439,12.3149395340395
2005-02-01,8.14741281752654,1.66436346933199,9.89042412954878,17.9950690042908,13.2497227446076
2005-03-01,3.51107490542298,3.57409345894732,5.67921293107672,11.2094950096213,15.4480992376361
2005-04-01,3.54241464164074,5.21777657677736,17.9970459873073,13.0764035438945,16.9426318642838
2005-05-01,6.50889811528315,6.24394928676031,16.2598945836575,7.83909679154388,18.5783470623991
2005-06-01,6.20539280505837,4.46749654218534,13.0997891064774,7.28268564681183,18.960056198947
2005-07-01,6.29649721858796,4.06388270958374,16.4403957058494,9.39429725560301,20.3286372453421
2005-08-01,7.06300307201129,4.97891573505129,14.5072895870929,12.2700813433532,23.3795265059774
2005-09-01,6.05312105189148,4.98274105259033,12.7059297930413,1.06890062436163,24.2005329557028
2005-10-01,6.49266528282108,6.70853619668566,12.3225594996552,7.75451966953168,25.292613081345
2005-11-01,9.39989740117371,6.8544460609918,12.2401792739125,26.1771663751757,29.8956286487912
2005-12-01,6.8833669870526,5.75756832577903,12.8155995717636,-7.03862015599872,35.5409313062566
2006-01-01,7.10170164430077,7.66554653686702,10.9203563133001,5.62400467871013,36.8609807405755
2006-02-01,5.60815182888311,7.88610118029696,9.96511366658451,8.09241596513654,39.4428787639298
2006-03-01,12.0795001803328,9.00921764458932,13.7403815995348,21.5344365872513,39.6258882755703
2006-04-01,5.40297358027564,4.37617474136524,-0.810083023994114,5.54994785330069,39.2255077192118
2006-05-01,6.09980733591271,5.22802651851838,13.6482785653996,11.0425948838344,38.0606027513948
2006-06-01,7.48071786155007,7.37889967804749,9.14086179220475,20.5556032377915,39.2923666441655
2006-07-01,6.51377282433505,9.21000885838717,7.03328595151628,17.4975951648959,38.8212424167336
2006-08-01,10.3209217546199,7.95087666973499,20.7981842010744,2.59204620992124,36.7973326856248
2006-09-01,8.1394039741372,8.07781421137487,18.3565208359026,12.7004175093897,36.6316905914262
2006-10-01,8.70194068649587,8.30068977159722,17.9986081093709,39.2809666265367,35.5909408882921
2006-11-01,4.74313280864557,8.45827628997417,19.7018478478702,11.2693550472794,34.3826956818315
2006-12-01,8.59943457160934,8.29862058930817,11.0017424421331,27.7919752013282,30.8101819064667
2007-01-01,5.01233655233024,9.40668564095644,12.73606057569,24.1673900626726,30.3268904790287
2007-02-01,4.77330813006772,9.2932555232878,5.87615150354677,30.5346061957562,29.8229821968434
2007-03-01,6.0208489404819,10.4450276138739,12.2462827730434,12.9947724121622,30.236390417971
2007-04-01,5.29366168999817,11.2394156735582,14.460923972153,14.9011541638159,33.7975270619386
2007-05-01,7.14467706791587,11.1677925985752,19.6418822402239,15.5609274212886,35.5984468641118
